What,Where,When,How_Much
Michael Falch - Solo - Udsolgt!,"[55.68181879999999, 12.4566722]",2000,295
Støttekoncert Søren Sebber &amp; Lune Carlsen.,"[55.6650129, 12.391007]",2000,
DR Big Band præsenterer Lisa Nilsson - Jazz og hits.,"[55.6575405, 12.5905654]",2000,170
Whomadewho (dk).,"[55.6680529, 12.5439823]",2000,200
Route 66 - 60'er musik - Dreamers.,"[55.8155789, 12.4025647]",2030,100
De Danske Hyrder (DK).,"[55.6680529, 12.5439823]",2100,165
Bach - Johannespassion.,"[55.679125, 12.577278]",1500,200
Koncertserien 24 - koncerter med unge talenter.,"[55.686089, 12.533412]",1600,
DR Big Band præsenterer Lisa Nilsson - Jazz og hits.,"[55.6575405, 12.5905654]",1600,170
Bachs Johannespassion med KantateKoret.,"[55.6766342, 12.5836015]",1600,
Bjørn Eidsvåg.,"[55.6725191, 12.5872964]",1700,265
Select Captain / Kajsa Vala.,"['None', 'None']",2000,125
Go Go Berlin.,"[55.6575405, 12.5905654]",2000,220
Kesi (DK).,"[55.6680529, 12.5439823]",2000,250
Rejjie Snow.,"[55.677125, 12.5651939]",2100,200
Koncert i Solgårdens Café.,"[55.788641, 12.458762]",1430,
Caroline Henderson.,"[55.6575405, 12.5905654]",1600,295
Passions - og påskekoncert.,"[55.6478938, 12.6049463]",1600,
Bachs Johannespassion med Københavns Kantatekor.,"[55.5959324, 12.6369114]",1600,
Gregory Porter - Få Billetter.,"[55.682018, 12.6006229]",2000,495
Series of Four - Khachatryan.,"[55.68221, 12.5525251]",1930,120
Brockespassionen / Concerto Copenhagen.,"[55.6817515, 12.5894416]",2000,200
Rhye.,"[55.6680529, 12.5439823]",2000,
Editors (UK).,"[55.6680529, 12.5439823]",2000,250
Majid Jordan.,"[55.6575405, 12.5905654]",2100,310
Lukas-passionen.,"[55.6575405, 12.5905654]",1930,60
Turboweekend.,"[55.68181879999999, 12.4566722]",2000,240
Carl Emil Petersen.,"[None, None]",2000,250
Tune-Yards (US).,"[55.677125, 12.5651939]",2100,
Folkeklubben - En akustisk aften i Folkeklubben.,"[55.6575405, 12.5905654]",2000,195
Carl Emil Petersen.,"[None, None]",2000,250
Carpenter Brut.,"[55.677125, 12.5651939]",2100,230
De Danske Hyrder.,"[55.6578915, 12.3563706]",2100,149
Påskemesterværk af Joseph Haydn.,"[55.678747, 12.498775]",0030,
Dvsn.,"[55.677125, 12.5651939]",2100,245
Barluath.,"[55.7305364, 12.3522152]",1930,140
Julie Bergan (no) - Flyttet.,"[55.6680529, 12.5439823]",2000,185
Jam-session på Lipperts.,"[55.6517012, 12.3037462]",1800,
Stephanie Maria (50/50 koncert).,"['None', 'None']",1930,55
Helene Blum Harald Haugaard Band.,"[55.7305364, 12.3522152]",2000,140
Ida Corr.,"[55.6575405, 12.5905654]",2000,220
Fever ray.,"[55.6680529, 12.5439823]",2000,
3 i 1 Koncert.,"[55.6608674, 12.6053029]",2000,
Patricia Petibon.,"[55.6575405, 12.5905654]",1930,85
Saveus (DK).,"[55.6680529, 12.5439823]",2000,220
Tom Paxton &amp; The DonJuans.,"[55.6575405, 12.5905654]",2000,250
Avatar.,"[55.677125, 12.5651939]",2000,205
Young Flowers - 50 års jubilæumsturné.,"[55.68181879999999, 12.4566722]",2000,175
Pligten Kalder.,"['None', 'None']",2000,195
Kasper Winding.,"[55.65525909999999, 12.2956019]",2000,225
Clemens - Den Anden Verden (DK).,"[55.6680529, 12.5439823]",2100,300
Halberg &amp; Friends.,"[55.8155789, 12.4025647]",2100,200
Jesper Binzer.,"[55.677125, 12.5651939]",2100,275
Ida Nielsen Med Band.,"[55.666846, 12.5762349]",2100,195
Benal.,"[55.6578915, 12.3563706]",2100,195
